kind,i,p,j,k,w,dist_m,es_existente,name,value,uid_i,uid_p,cluster_i,cluster_p
I,355.0,,,,115.14361824967665,,,,,408.0,,0.0,
I,356.0,,,,126.78146597603812,,,,,409.0,,1.0,
I,357.0,,,,44.807573028883695,,,,,410.0,,1.0,
I,358.0,,,,85.08639147846097,,,,,411.0,,3.0,
I,359.0,,,,35.69201584383596,,,,,412.0,,3.0,
I,360.0,,,,35.80784767472445,,,,,414.0,,0.0,
I,361.0,,,,105.34718968635167,,,,,415.0,,3.0,
I,362.0,,,,41.49200773662129,,,,,416.0,,2.0,
I,363.0,,,,111.16075996677912,,,,,418.0,,1.0,
I,364.0,,,,99.21864673475041,,,,,420.0,,0.0,
I,365.0,,,,39.870857706676425,,,,,421.0,,2.0,
I,366.0,,,,28.44819208154216,,,,,423.0,,0.0,
I,367.0,,,,56.422548482200696,,,,,424.0,,0.0,
I,368.0,,,,163.34860973721706,,,,,425.0,,1.0,
I,369.0,,,,9.806377426435693,,,,,426.0,,3.0,
I,370.0,,,,39.10458134857626,,,,,427.0,,1.0,
I,371.0,,,,80.87331538663625,,,,,428.0,,1.0,
I,372.0,,,,90.39632392047005,,,,,429.0,,5.0,
I,373.0,,,,137.21069500249664,,,,,430.0,,1.0,
I,374.0,,,,48.86791683563192,,,,,431.0,,2.0,
I,375.0,,,,48.12799298856053,,,,,432.0,,1.0,
I,376.0,,,,31.14767637139589,,,,,433.0,,1.0,
I,377.0,,,,80.99599411786693,,,,,434.0,,0.0,
I,378.0,,,,48.70020890889756,,,,,435.0,,0.0,
I,379.0,,,,10.037491644342285,,,,,437.0,,1.0,
I,380.0,,,,23.50130206592449,,,,,439.0,,0.0,
I,381.0,,,,82.18344228030713,,,,,440.0,,2.0,
I,382.0,,,,11.465135980201621,,,,,441.0,,3.0,
I,383.0,,,,84.98961623843527,,,,,442.0,,1.0,
I,384.0,,,,92.2444492193761,,,,,443.0,,4.0,
I,385.0,,,,35.03768244211123,,,,,444.0,,0.0,
I,386.0,,,,97.36948461962398,,,,,445.0,,0.0,
I,387.0,,,,57.98575169574917,,,,,446.0,,2.0,
I,388.0,,,,71.68286473977663,,,,,447.0,,1.0,
I,389.0,,,,21.64666796384911,,,,,448.0,,0.0,
I,390.0,,,,26.72040346279241,,,,,451.0,,4.0,
I,391.0,,,,201.2310470772535,,,,,452.0,,3.0,
I,392.0,,,,58.88524079815874,,,,,453.0,,3.0,
I,393.0,,,,49.71484278188644,,,,,454.0,,3.0,
I,394.0,,,,98.16781792306878,,,,,455.0,,4.0,
I,395.0,,,,21.277975286952678,,,,,456.0,,2.0,
I,396.0,,,,201.4451982013,,,,,457.0,,2.0,
I,397.0,,,,139.9958462832813,,,,,459.0,,1.0,
I,398.0,,,,22.349304618427887,,,,,460.0,,3.0,
